"fecha_hecho","cod_depto","departamento","cod_muni","municipio","cantidad","unidad"
"2025-08-20T00:00:00.000","52","NARIÑO","52001","PASTO","0.3","KILOGRAMO"
"2025-08-19T00:00:00.000","52","NARIÑO","52287","FUNES","0.002","KILOGRAMO"
"2025-08-15T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0115","KILOGRAMO"
"2025-08-13T00:00:00.000","52","NARIÑO","52110","BUESACO","0.002","KILOGRAMO"
"2025-08-13T00:00:00.000","54","NORTE DE SANTANDER","54172","CHINACOTA","0.003","KILOGRAMO"
"2025-08-12T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.001","KILOGRAMO"
"2025-08-11T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0018","KILOGRAMO"
"2025-08-10T00:00:00.000","66","RISARALDA","66001","PEREIRA","0.03","KILOGRAMO"
"2025-08-09T00:00:00.000","63","QUINDIO","63001","ARMENIA","0.0168","KILOGRAMO"
"2025-08-08T00:00:00.000","52","NARIÑO","52110","BUESACO","34.8","KILOGRAMO"
"2025-08-07T00:00:00.000","52","NARIÑO","52110","BUESACO","39","KILOGRAMO"
"2025-08-06T00:00:00.000","44","LA GUAJIRA","44001","RIOHACHA","0.021","KILOGRAMO"
"2025-08-06T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0115","KILOGRAMO"
"2025-08-04T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.006","KILOGRAMO"
"2025-08-04T00:00:00.000","19","CAUCA","19698","SANTANDER DE QUILICHAO","0.153","KILOGRAMO"
"2025-08-04T00:00:00.000","05","ANTIOQUIA","05380","LA ESTRELLA","0.0225","KILOGRAMO"
"2025-08-03T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.005","KILOGRAMO"
"2025-08-01T00:00:00.000","17","CALDAS","17001","MANIZALES","0.0186","KILOGRAMO"
"2025-08-01T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.004","KILOGRAMO"
"2025-07-30T00:00:00.000","66","RISARALDA","66170","DOSQUEBRADAS","0.038","KILOGRAMO"
"2025-07-30T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.03","KILOGRAMO"
"2025-07-30T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.007","KILOGRAMO"
"2025-07-29T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.007","KILOGRAMO"
"2025-07-26T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.022","KILOGRAMO"
"2025-07-26T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.071","KILOGRAMO"
"2025-07-25T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.01","KILOGRAMO"
"2025-07-25T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0037","KILOGRAMO"
"2025-07-25T00:00:00.000","63","QUINDIO","63470","MONTENEGRO","0.0058","KILOGRAMO"
"2025-07-24T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.002","KILOGRAMO"
"2025-07-22T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.0035","KILOGRAMO"
"2025-07-22T00:00:00.000","52","NARIÑO","52838","TUQUERRES","1.372","KILOGRAMO"
"2025-07-21T00:00:00.000","63","QUINDIO","63001","ARMENIA","0.512","KILOGRAMO"
"2025-07-19T00:00:00.000","66","RISARALDA","66170","DOSQUEBRADAS","0.096","KILOGRAMO"
"2025-07-19T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.002","KILOGRAMO"
"2025-07-18T00:00:00.000","52","NARIÑO","52838","TUQUERRES","0.009","KILOGRAMO"
"2025-07-15T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0013","KILOGRAMO"
"2025-07-14T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.005","KILOGRAMO"
"2025-07-11T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.046","KILOGRAMO"
"2025-07-11T00:00:00.000","63","QUINDIO","63001","ARMENIA","0.006","KILOGRAMO"
"2025-07-10T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.011","KILOGRAMO"
"2025-07-10T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.0112","KILOGRAMO"
"2025-07-10T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.012","KILOGRAMO"
"2025-07-09T00:00:00.000","05","ANTIOQUIA","05266","ENVIGADO","0.00020","KILOGRAMO"
"2025-07-07T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0016","KILOGRAMO"
